stars,comment,date
5.0 out of 5 stars,"









  
  
    
  Good product from Amazon.

  
",Reviewed in India on 22 September 2019
3.0 out of 5 stars,"









  
  
    
  Nice but not tasty this Maggie

  
",Reviewed in India on 7 August 2019
3.0 out of 5 stars,"









  
  
    
  Product was ok but pacakaging was unbelievable , as a prime member i simply have this kind of useless pacakaging . Just a simple plastic bag pacakaging . Worst pacakaging experience

  
",Reviewed in India on 26 June 2020
1.0 out of 5 stars,"









  
  
    
  Damaged packets received with packaging

  
",Reviewed in India on 11 June 2020
5.0 out of 5 stars,"









  
  
    
  Waaaaaw... Amezing package.Thank God ab baar baar shop pe nhi jana padega.. Thanks amazon

  
",Reviewed in India on 6 August 2019
5.0 out of 5 stars,"









  
  
    
  Maggi is always awesome...

  
",Reviewed in India on 5 November 2019
4.0 out of 5 stars,"









  
  
    
  Instant food yummy  !

  
",Reviewed in India on 5 October 2019
1.0 out of 5 stars,"









  
  
    
  Can’t use as the packets are totally damaged inside

  
",Reviewed in India on 3 June 2020
5.0 out of 5 stars,"









  
  
    
  Its perfect order full nos .. 12 and fresh.Thankyou Amazon

  
",Reviewed in India on 13 December 2019
5.0 out of 5 stars,"









  
  
    
  Maggi is flavor is always good.. No doubtPackaging and presentation was goodBt I ll not say.. That it's ""value for money""

  
",Reviewed in India on 13 October 2019
5.0 out of 5 stars,"









  
  
    
  Good at the price

  
",Reviewed in India on 6 September 2019
5.0 out of 5 stars,"









  
  
    
  Value of money

  
",Reviewed in India on 27 June 2020
