stars,comment,date
5.0 out of 5 stars,"









  
  
    
  Maggi is a religion in India. So it is as expected. Tasty and quick. Good for late sleepers.the seller is good, supplied quickly.

  
",Reviewed in India on 10 October 2018
1.0 out of 5 stars,"









  
  
    
  Definitely a fake. One cannot go wrong with the taste of Maggie and this was totally wrong tasting. Color of noodles was wrong, color of masala was wrong and flavor not good. Anyways since there is not much option available during lockdown not much you can do.

  
",Reviewed in India on 18 April 2020
1.0 out of 5 stars,"









  
  
    
  The product received is a waste the block of Maggie is not the whole and is in bits looks like half the packet is empty tried the pantry for the first time an it's a waste of time

  
",Reviewed in India on 17 June 2020
1.0 out of 5 stars,"









  
  
    
  Ants inside the pack ....we took out the pack from the carton...ants came out of the pack.lot of holes in the pack.i think out of 8 pack...one pack ate by the ants.I ask Amazon to exchange the product.First time this type of mistake happen.

  
",Reviewed in India on 6 October 2019
5.0 out of 5 stars,"









  
  
    
  Wat to say about it. Itz always been there in times, you have nothing to lay your hands upon. Quickly served and prepared, it,z appealing to your taste.

  
",Reviewed in India on 3 October 2017
1.0 out of 5 stars,"









  
  
    
  Completely crushed packets of Maggi received.Sad

  
",Reviewed in India on 28 February 2018
3.0 out of 5 stars,"









  
  
    
  Packaging is good , and I recommend you if u thinking to purchase maagi here then only go with 12 pack rather all are very bad this one is only good.Although price is not cheap I got it for mrp then what's the purpose to buy here.

  
",Reviewed in India on 12 August 2020
1.0 out of 5 stars,"









  
  
    
  Last 2-3 are completely broken, please return can't eat this.

  
",Reviewed in India on 22 January 2019
1.0 out of 5 stars,"









  
  
    
  This is a fake product ,something really bad , got stomach problem, please don’t buy it , the tastemaker doesn’t mixes and noodles don’t dont boils, buy from original, please don’t buy from amazon

  
",Reviewed in India on 20 March 2020
3.0 out of 5 stars,"









  
  
    
  Maggi is my favoy,but packaging was so poor that everything got crumbled inside

  
",Reviewed in India on 9 August 2020
1.0 out of 5 stars,"









  
  
    
  Out of 3 nos packed one no packed found in damage condition  accordingly inside noodles are exposed and we are unable to use that packed of noodles. This is for your information and necessary action please.Eager for your reply please. Regards PULAK KUMAR ROY

  
",Reviewed in India on 9 June 2020
5.0 out of 5 stars,"









  
  
    
  I generally find Maggie at very competitive price on Amazon rather than offline stores. It's very easy to cook for me so I usually order in bulk. Thanks Amazon for providing at such an affordable price.

  
",Reviewed in India on 26 October 2018
5.0 out of 5 stars,"









  
  
    
  Anytime snack. You can have it as a snack anytime of the day. Also packaging is good.

  
",Reviewed in India on 3 March 2020
5.0 out of 5 stars,"









  
  
    
  Good taste. Received in good condition and new stock product

  
",Reviewed in India on 14 September 2019
4.0 out of 5 stars,"









  
  
    
  No doubt this a hingry saviour for years and the quality has definitely improved after the Maggie Fiasco that happened few years ago.

  
",Reviewed in India on 17 June 2018
4.0 out of 5 stars,"









  
  
    
  Good product but price are same to market price

  
",Reviewed in India on 29 June 2020
5.0 out of 5 stars,"









  
  
    
  Kids & youngsters love it like their favorite.

  
",Reviewed in India on 28 June 2020
4.0 out of 5 stars,"









  
  
    
  Check for expiry & buy. Health related product,  Be careful.

  
",Reviewed in India on 4 November 2019
1.0 out of 5 stars,"









  
  
    
  On this item also rate mentioned was I clusive of tax but while billing tax was added again. This is not fair. Pl check up and refund the excess amount on account of tax charged on amount inclusive of tax.

  
",Reviewed in India on 21 April 2020
1.0 out of 5 stars,"









  
  
    
  The quality is not appreciable and I think the packet which was sent to us was a old stock.I thought buying at amazon would be the best but it doesn't meet our expectations and after consuming the stomach gets upset

  
",Reviewed in India on 27 June 2020
4.0 out of 5 stars,"









  
  
    
  The packing was nice and the taste was equally good, was ready to eat in 5 mins only.

  
",Reviewed in India on 11 May 2019
4.0 out of 5 stars,"









  
  
    
  Very bad packaging. ""Maggi"" kept under the another product inside the Box. Entire maagi got damaged. Also there was no return or replace policy. Now I have to consume it like ""maggi Chanachur"". Awosome experience!

  
",Reviewed in India on 7 June 2020
